Topic 46,loss_108.05328,fragment_169.00492,fragment_137.00501,fragment_276.02578,fragment_155.01648,fragment_96.0449,fragment_51.02335,fragment_179.07156,fragment_147.06364,fragment_154.03123,fragment_88.03901,fragment_294.03497,loss_119.06962,fragment_125.01422,loss_78.04309,fragment_119.0498,fragment_126.05431,fragment_138.05575,loss_138.06381
Topic 47,fragment_176.87586,fragment_136.06225,loss_162.05204,fragment_174.88691,loss_179.05897,fragment_119.0351,fragment_61.01084,fragment_94.03965,fragment_75.02608,fragment_145.03171,loss_153.06369,fragment_134.02756,fragment_133.06434,fragment_133.04831,fragment_133.04976,fragment_134.04803,fragment_134.04673,fragment_134.04498,fragment_133.05131
Topic 48,fragment_69.03362,loss_197.12615,fragment_132.39426,fragment_132.99595,fragment_133.04831,fragment_133.04976,fragment_133.05131,fragment_133.05262,fragment_133.06434,fragment_133.07609,fragment_133.08622,fragment_133.09596,fragment_133.09783,fragment_132.08126,fragment_133.10075,fragment_133.59714,fragment_134.01282,fragment_134.02756,fragment_134.03645
Topic 49,fragment_138.09131,fragment_198.05806,fragment_94.06471,fragment_184.0435,fragment_166.03151,fragment_149.07186,fragment_123.06782,fragment_299.12543,fragment_182.02813,fragment_313.0861,loss_97.96652,fragment_295.07596,loss_138.99401,fragment_253.06377,fragment_130.04904,fragment_83.07324,fragment_254.04766,fragment_143.0899,fragment_133.05262
Topic 50,fragment_70.06511,loss_197.12615,fragment_133.09596,fragment_132.39426,fragment_132.99595,fragment_133.04831,fragment_133.04976,fragment_133.05131,fragment_133.05262,fragment_133.06434,fragment_133.07609,fragment_133.08622,fragment_133.09783,fragment_132.08126,fragment_133.10075,fragment_133.59714,fragment_134.01282,fragment_134.02756,fragment_134.03645
Topic 51,fragment_58.029,fragment_113.03494,fragment_60.05585,fragment_131.04932,fragment_172.08266,fragment_294.16843,fragment_75.05566,fragment_115.0613,fragment_276.16085,fragment_132.39426,fragment_133.07609,fragment_133.04831,fragment_133.04976,fragment_132.10153,fragment_133.05131,fragment_133.05262,fragment_133.06434,fragment_132.99595,loss_197.12615
Topic 52,fragment_86.06007,fragment_57.04508,loss_77.04739,fragment_104.07096,fragment_133.09783,fragment_132.99595,fragment_133.04831,fragment_133.04976,fragment_133.05131,fragment_133.05262,fragment_133.06434,fragment_133.07609,fragment_133.08622,fragment_133.09596,fragment_133.10075,fragment_132.10153,fragment_133.59714,fragment_134.01282,fragment_134.02756
Topic 53,fragment_107.0855,fragment_121.10142,fragment_81.06995,loss_179.11551,fragment_131.08611,fragment_163.11153,fragment_171.00205,fragment_127.01268,fragment_115.01211,fragment_143.00691,fragment_278.02036,fragment_133.04831,fragment_132.99595,fragment_133.05131,fragment_132.39426,fragment_133.05262,fragment_133.06434,fragment_133.04976,fragment_133.07609
Topic 54,loss_27.99488,loss_92.01082,fragment_67.04186,loss_64.01586,fragment_77.03869,loss_36.02096,loss_18.01064,fragment_148.03964,fragment_166.0497,fragment_120.04411,fragment_122.02426,loss_62.03681,fragment_95.03684,loss_131.05802,fragment_96.0449,fragment_104.04982,fragment_63.02316,fragment_138.12824,fragment_99.04264
Topic 55,fragment_177.03902,fragment_168.0484,fragment_129.01842,fragment_111.00757,fragment_83.01299,fragment_113.0236,fragment_134.04803,fragment_181.04224,fragment_342.09013,fragment_67.01803,fragment_134.01282,fragment_133.59714,fragment_133.04831,fragment_133.04976,fragment_133.05131,fragment_134.08154,fragment_133.05262,fragment_134.05987,fragment_133.06434
Topic 56,loss_129.04234,loss_197.12615,fragment_132.06547,fragment_132.08126,fragment_132.10153,fragment_132.39426,fragment_132.99595,fragment_133.04831,fragment_133.04976,fragment_133.05131,fragment_133.05262,fragment_133.06434,fragment_133.07609,fragment_133.08622,fragment_133.09596,fragment_133.09783,fragment_133.10075,fragment_133.59714,fragment_134.01282
Topic 57,fragment_85.02826,fragment_57.03366,loss_197.12615,fragment_133.09596,fragment_132.39426,fragment_132.99595,fragment_133.04831,fragment_133.04976,fragment_133.05131,fragment_133.05262,fragment_133.06434,fragment_133.07609,fragment_133.08622,fragment_133.09783,fragment_132.08126,fragment_133.10075,fragment_133.59714,fragment_134.01282,fragment_134.02756
Topic 58,fragment_135.11728,fragment_104.07096,fragment_447.23536,fragment_213.16543,fragment_176.05555,fragment_211.05237,fragment_96.0449,fragment_219.06212,fragment_138.0375,loss_121.07353,fragment_223.09334,fragment_136.02168,fragment_159.02906,loss_197.12615,fragment_132.99595,fragment_133.04976,fragment_132.39426,fragment_132.10153,fragment_132.08126
Topic 59,fragment_121.06475,fragment_53.03885,fragment_149.05996,fragment_103.0395,fragment_123.07949,fragment_90.03746,fragment_110.0607,fragment_55.04216,fragment_56.02142,fragment_133.07609,fragment_133.06434,fragment_133.05131,fragment_133.05262,fragment_133.09596,fragment_133.04976,fragment_133.04831,fragment_133.08622,loss_197.12615,fragment_133.09783
Topic 60,fragment_60.08098,loss_197.12615,fragment_135.00705,fragment_132.39426,fragment_132.99595,fragment_133.04831,fragment_133.04976,fragment_133.05131,fragment_133.05262,fragment_133.06434,fragment_133.07609,fragment_133.08622,fragment_133.09596,fragment_133.09783,fragment_133.10075,fragment_133.59714,fragment_134.01282,fragment_134.02756,fragment_134.03645
